prub,Fcislo,lok,Lokcode,loctyp,klimabox,Otemp_act,Oprec_act,TreatTemo,TreatPrec,Tmcomb,Treatment,length,weight,SRzL,,changeTc,changeMc,changemerged,changeT,changeM,SRzL,Total biomass,Total biomass log,Aboveground,koreny-vaha,rhi-del,rhi-vah,biomass excluding rhizome,total ramets,ramets per unit length,1odnoze extra-pocet,ext ramets per length,logext ramets per length
29,682,Fau,T3_M1,LOW1,C,3,1,1,1,11,Cold_Dry,14,0.0572,244.7552448,Mc,Tc-2,Mc0,Tc-2_Mc0,-2,0,244.7552448,2.6502,0.667471632,0.141,2.088,14,0.0572,2.593,11,0.785714286,0,0.001,0.000434077
38,447,Ovst,T3_M4,LOW4,C,3,4,1,1,11,Cold_Dry,19.5,0.0332,587.3493976,Mc,Tc-2,Mc-3,Tc-2_Mc-3,-2,-3,587.3493976,3.1662,0.713171215,0.448,2.23,19.5,0.0332,3.133,13,0.666666667,0,0.001,0.000434077
40,586,Ulv,T1_M1,ALP1,C,1,1,1,1,11,Cold_Dry,6.3,0.0139,453.2374101,Mc,Tc0,Mc0,Tc0_Mc0,0,0,453.2374101,2.3629,0.639775259,0.49,1.212,6.3,0.0139,2.349,12,1.904761905,0,0.001,0.000434077
41,591,Alr,T2_M1,INT1,C,2,1,1,1,11,Cold_Dry,19.8,0.0455,435.1648352,Mc,Tc-1,Mc0,Tc-1_Mc0,-1,0,435.1648352,1.9715,0.598954567,0.285,1.149,19.8,0.0455,1.926,15,0.757575758,0,0.001,0.000434077
42,472,Arh,T3_M3,LOW3,C,3,3,1,1,11,Cold_Dry,4.8,0.0158,303.7974684,Mc,Tc-2,Mc-2,Tc-2_Mc-2,-2,-2,303.7974684,2.7668,0.678226931,0.525,1.878,4.8,0.0158,2.751,14,2.916666667,0,0.001,0.000434077
47,353,Ves,T2_M4,INT4,C,2,4,1,1,11,Cold_Dry,37.5,0.0821,456.7600487,Mc,Tc-1,Mc-3,Tc-1_Mc-3,-1,-3,456.7600487,2.4171,0.645137231,0.446,1.468,37.5,0.0821,2.335,17,0.453333333,0,0.001,0.000434077
50,480,Arh,T3_M3,LOW3,C,3,3,1,1,11,Cold_Dry,12.9,0.03,430,Mc,Tc-2,Mc-2,Tc-2_Mc-2,-2,-2,430,2.33,0.636487896,0.4,1.547,12.9,0.03,2.3,11,0.852713178,0,0.001,0.000434077
51,186,Gud,T1_M3,ALP3,C,1,3,1,1,11,Cold_Dry,13.2,0.037,356.7567568,Mc,Tc0,Mc-2,Tc0_Mc-2,0,-2,356.7567568,1.959,0.597585502,0.344,1.204,13.2,0.037,1.922,9,0.681818182,0,0.001,0.000434077
60,287,Ram ,T2_M3,INT3,C,2,3,1,1,11,Cold_Dry,11.4,0.0231,493.5064935,Mc,Tc-1,Mc-2,Tc-1_Mc-2,-1,-2,493.5064935,2.6421,0.666714492,0.651,1.378,11.4,0.0231,2.619,11,0.964912281,0,0.001,0.000434077
61,362,Ves,T2_M4,INT4,C,2,4,1,1,11,Cold_Dry,0.8,0.0006,1333.333333,Mc,Tc-1,Mc-3,Tc-1_Mc-3,-1,-3,1333.333333,3.2026,0.716220437,0.627,2.128,0.8,0.0006,3.202,12,15,0,0.001,0.000434077
